codigoPrograma,elapsed_ms,len_body,ok,pidm,status
UAC_IMEC_SP1,1719.0,1021,True,2654627,200
UFC_IIWS_SP1,156.0,1036,True,659842,200
UFC_ADBF_SP1,1766.0,1031,True,1340702,200
UAC_ISOF_SP1,1828.0,1024,True,4437464,200
UFC_CONT_SP1,2172.0,1010,True,2277119,200
UFC_INGS_SP1,2188.0,1034,True,1828430,200
UFC_INGS_SP1,2219.0,1020,True,853494,200
UFC_INGS_SP1,2578.0,1013,True,3429241,200
UAC_ADNI_SP1,2594.0,1007,True,4070314,200
UFC_INGC_SP1,2625.0,1001,True,3038587,200
UAC_ISIN_SP1,2625.0,1026,True,3899141,200
UFC_ADME_SP1,3000.0,1032,True,778512,200
UFC_IIWS_SP1,3016.0,1029,True,3094031,200
UFC_IIWS_SP1,3016.0,1008,True,3053554,200
UAC_PSIC_SP1,3016.0,1002,True,1062416,200
UFC_AGEM_SP1,3031.0,1037,True,2117852,200
UAC_REIN_SP1,3406.0,1009,True,4440521,200
UFC_INGI_SP1,3406.0,1033,True,1585084,200
UFC_ADHT_SP1,3406.0,1029,True,2670652,200
UAC_ISIN_SP1,3422.0,1009,True,4127623,200
UFC_INGC_SP1,3422.0,1017,True,4142341,200
